benchmark,memory,pf_level,parameter_family,parameter_name,rank,config,simSeconds,baseline_simSeconds,speedup,pfIssued,pfUseful,pfUnused,accuracy,coverage,pfLate,pfTimely,run_name
matmult,ddr4_1x,l2,amt,access_map_table_entries,2,amt64,0.001179,0.001268,1.0754877014419,84614.0,4464.0,52.0,0.052757,0.9,79910.0,4704.0,matmult_ampm_amt64_l2_ddr4_1x
matmult,ddr4_1x,l2,assoc,access_map_table_assoc,1,assoc16,0.001184,0.001268,1.070945945945946,50940.0,3054.0,78.0,0.059953,0.854027,46281.0,4659.0,matmult_ampm_assoc16_l2_ddr4_1x
matmult,ddr4_1x,l2,assoc,access_map_table_assoc,2,assoc1,0.001186,0.001268,1.0691399662731873,53508.0,2984.0,77.0,0.055767,0.844369,48864.0,4644.0,matmult_ampm_assoc1_l2_ddr4_1x
matmult,ddr4_1x,l2,default,default,1,default,0.001181,0.001268,1.0736663844199832,52197.0,3320.0,76.0,0.063605,0.858103,47550.0,4647.0,matmult_ampm_default_l2_ddr4_1x
matmult,ddr4_1x,l2,epoch,epoch_cycles,1,epoch1024k,0.001181,0.001268,1.0736663844199832,46801.0,3310.0,76.0,0.070725,0.857735,42154.0,4647.0,matmult_ampm_epoch1024k_l2_ddr4_1x
matmult,ddr4_1x,l2,epoch,epoch_cycles,2,epoch64k,0.001185,0.001268,1.0700421940928269,53185.0,2969.0,52.0,0.055824,0.757591,48931.0,4254.0,matmult_ampm_epoch64k_l2_ddr4_1x
matmult,ddr4_1x,l2,hz,hot_zone_size,1,hz1k,0.001178,0.001268,1.0764006791171477,27289.0,4238.0,42.0,0.155301,0.89447,22607.0,4682.0,matmult_ampm_hz1k_l2_ddr4_1x
matmult,ddr4_1x,l2,hz,hot_zone_size,2,hz4k,0.001179,0.001268,1.0754877014419,84614.0,4464.0,52.0,0.052757,0.9,79910.0,4704.0,matmult_ampm_hz4k_l2_ddr4_1x
matmult,ddr4_1x,l2,ls,limit_stride,1,ls16,0.001182,0.001268,1.0727580372250423,54744.0,3349.0,78.0,0.061176,0.86627,50067.0,4677.0,matmult_ampm_ls16_l2_ddr4_1x
matmult,ddr4_1x,l2,ls,limit_stride,2,ls8,0.001182,0.001268,1.0727580372250423,32842.0,3251.0,71.0,0.098989,0.860508,28191.0,4651.0,matmult_ampm_ls8_l2_ddr4_1x
matmult,ddr4_1x,l2,sd,start_degree,1,sd8,0.001183,0.001268,1.0718512256973796,53684.0,3294.0,85.0,0.061359,0.860951,49042.0,4642.0,matmult_ampm_sd8_l2_ddr4_1x
matmult,ddr4_1x,l2,sd,start_degree,2,sd2,0.001184,0.001268,1.070945945945946,51753.0,3400.0,54.0,0.065697,0.881057,46998.0,4755.0,matmult_ampm_sd2_l2_ddr4_1x
matmult,ddr4_2x,l1d,amt,access_map_table_entries,1,amt8,0.001261,0.001287,1.0206185567010309,7446.0,503.0,1754.0,0.067553,0.000467,4670.0,2776.0,matmult_ampm_amt8_l1d_ddr4_2x
matmult,ddr4_2x,l1d,amt,access_map_table_entries,2,amt16,0.001263,0.001287,1.019002375296912,7605.0,392.0,1808.0,0.051545,0.000364,4930.0,2675.0,matmult_ampm_amt16_l1d_ddr4_2x
matmult,ddr4_2x,l1d,assoc,access_map_table_assoc,1,assoc2,0.001321,0.001287,0.9742619227857684,144652.0,8746.0,41823.0,0.060462,0.00813,93474.0,51178.0,matmult_ampm_assoc2_l1d_ddr4_2x
matmult,ddr4_2x,l1d,assoc,access_map_table_assoc,2,assoc1,0.001329,0.001287,0.9683972911963882,153081.0,8858.0,43202.0,0.057865,0.008234,100381.0,52700.0,matmult_ampm_assoc1_l1d_ddr4_2x
matmult,ddr4_2x,l1d,default,default,1,default,0.001333,0.001287,0.9654913728432107,154345.0,8806.0,43210.0,0.057054,0.008193,101739.0,52606.0,matmult_ampm_default_l1d_ddr4_2x
matmult,ddr4_2x,l1d,epoch,epoch_cycles,1,epoch64k,0.001331,0.001287,0.9669421487603306,182287.0,8897.0,45303.0,0.048808,0.008268,127419.0,54868.0,matmult_ampm_epoch64k_l1d_ddr4_2x
matmult,ddr4_2x,l1d,epoch,epoch_cycles,2,epoch1024k,0.001333,0.001287,0.9654913728432107,154277.0,8905.0,43005.0,0.057721,0.008285,101766.0,52511.0,matmult_ampm_epoch1024k_l1d_ddr4_2x
matmult,ddr4_2x,l1d,hz,hot_zone_size,1,hz2k,0.001261,0.001287,1.0206185567010309,7446.0,503.0,1754.0,0.067553,0.000467,4670.0,2776.0,matmult_ampm_hz2k_l1d_ddr4_2x
matmult,ddr4_2x,l1d,hz,hot_zone_size,2,hz1k,0.001263,0.001287,1.019002375296912,7605.0,392.0,1808.0,0.051545,0.000364,4930.0,2675.0,matmult_ampm_hz1k_l1d_ddr4_2x
matmult,ddr4_2x,l1d,ls,limit_stride,1,ls16,0.001279,0.001287,1.0062548866301797,107099.0,8295.0,23166.0,0.077452,0.007753,69775.0,37324.0,matmult_ampm_ls16_l1d_ddr4_2x
matmult,ddr4_2x,l1d,ls,limit_stride,2,ls4,0.00132,0.001287,0.975,122761.0,12761.0,48476.0,0.10395,0.011859,60869.0,61892.0,matmult_ampm_ls4_l1d_ddr4_2x
matmult,ddr4_2x,l1d,sd,start_degree,1,sd1,0.001307,0.001287,0.9846977811782708,161514.0,9662.0,45094.0,0.059821,0.008973,106117.0,55397.0,matmult_ampm_sd1_l1d_ddr4_2x
matmult,ddr4_2x,l1d,sd,start_degree,2,sd2,0.001308,0.001287,0.9839449541284404,159741.0,8684.0,44130.0,0.054363,0.008075,106253.0,53488.0,matmult_ampm_sd2_l1d_ddr4_2x
matmult,ddr4_2x,l2,amt,access_map_table_entries,1,amt128,0.001187,0.001287,1.08424599831508,51522.0,4476.0,46.0,0.086876,0.909941,46829.0,4693.0,matmult_ampm_amt128_l2_ddr4_2x
matmult,ddr4_2x,l2,amt,access_map_table_entries,2,amt64,0.001188,0.001287,1.0833333333333333,86366.0,4467.0,52.0,0.051722,0.90885,81661.0,4705.0,matmult_ampm_amt64_l2_ddr4_2x
matmult,ddr4_2x,l2,assoc,access_map_table_assoc,1,assoc2,0.001197,0.001287,1.0751879699248121,49680.0,3225.0,65.0,0.064915,0.857713,45088.0,4592.0,matmult_ampm_assoc2_l2_ddr4_2x
matmult,ddr4_2x,l2,assoc,access_map_table_assoc,2,assoc16,0.001198,0.001287,1.0742904841402336,49402.0,2992.0,79.0,0.060564,0.84353,44857.0,4545.0,matmult_ampm_assoc16_l2_ddr4_2x
matmult,ddr4_2x,l2,default,default,1,default,0.001197,0.001287,1.0751879699248121,50780.0,3245.0,77.0,0.063903,0.858239,46218.0,4562.0,matmult_ampm_default_l2_ddr4_2x
matmult,ddr4_2x,l2,epoch,epoch_cycles,1,epoch64k,0.001195,0.001287,1.0769874476987447,54297.0,3362.0,82.0,0.061919,0.865157,49699.0,4598.0,matmult_ampm_epoch64k_l2_ddr4_2x
