run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_stride_deg8_dist1_l1d_ddr4_1x,bfs,stride,deg8_dist1,l1d,ddr4_1x,0.021182,21181997799.0,30729211.0,63609603.0,0.483091,5108160.0,11435577.0,1656467.0,3856302.0,2518949.0,267916.0,287299.0,nan,nan,nan
bfs_stride_deg8_dist1_l1d_ddr4_2x,bfs,stride,deg8_dist1,l1d,ddr4_2x,0.01884,18839716758.0,30729211.0,56575726.0,0.543152,5004274.0,11348693.0,1657096.0,3858158.0,2576618.0,273427.0,288725.0,nan,nan,nan
bfs_stride_deg8_dist1_l2_ddr4_1x,bfs,stride,deg8_dist1,l2,ddr4_1x,0.022122,22122402786.0,30729211.0,66433642.0,0.462555,6663766.0,11444046.0,1291854.0,3529453.0,nan,nan,nan,2028270.0,221336.0,161836.0
bfs_stride_deg8_dist1_l2_ddr4_2x,bfs,stride,deg8_dist1,l2,ddr4_2x,0.019573,19573383024.0,30729211.0,58778928.0,0.522794,6595966.0,11367531.0,1286164.0,3529632.0,nan,nan,nan,2051507.0,225876.0,156277.0
bfs_stride_deg8_dist32_l1d_ddr4_1x,bfs,stride,deg8_dist32,l1d,ddr4_1x,0.025292,25292161854.0,30729211.0,75952438.0,0.404585,7012582.0,11442548.0,1586227.0,3790674.0,1199290.0,113441.0,234690.0,nan,nan,nan
bfs_stride_deg8_dist32_l1d_ddr4_2x,bfs,stride,deg8_dist32,l1d,ddr4_2x,0.022793,22793473377.0,30729211.0,68448869.0,0.448937,6903532.0,11365877.0,1583785.0,3788603.0,1218124.0,113656.0,232701.0,nan,nan,nan
bfs_stride_deg8_dist32_l2_ddr4_1x,bfs,stride,deg8_dist32,l2,ddr4_1x,0.025906,25906310757.0,30729211.0,77796729.0,0.394994,7334370.0,11459411.0,1387580.0,3528636.0,nan,nan,nan,984165.0,106013.0,94270.0
bfs_stride_deg8_dist32_l2_ddr4_2x,bfs,stride,deg8_dist32,l2,ddr4_2x,0.02323,23230190889.0,30729211.0,69760333.0,0.440497,7217107.0,11382280.0,1387693.0,3528837.0,nan,nan,nan,997024.0,106197.0,95166.0
bfs_stride_deg8_dist4_l1d_ddr4_1x,bfs,stride,deg8_dist4,l1d,ddr4_1x,0.022307,22307486517.0,30729211.0,66989449.0,0.458718,5507778.0,11441647.0,1674591.0,3872523.0,2370249.0,248298.0,307102.0,nan,nan,nan
bfs_stride_deg8_dist4_l1d_ddr4_2x,bfs,stride,deg8_dist4,l1d,ddr4_2x,0.019898,19898094654.0,30729211.0,59754038.0,0.514262,5413088.0,11355284.0,1673527.0,3880503.0,2414668.0,253142.0,307530.0,nan,nan,nan
bfs_stride_deg8_dist4_l2_ddr4_1x,bfs,stride,deg8_dist4,l2,ddr4_1x,0.02325,23249680047.0,30729211.0,69818859.0,0.440128,6786030.0,11450479.0,1325361.0,3522811.0,nan,nan,nan,1879472.0,191074.0,172461.0
bfs_stride_deg8_dist4_l2_ddr4_2x,bfs,stride,deg8_dist4,l2,ddr4_2x,0.020617,20617157538.0,30729211.0,61913386.0,0.496326,6733244.0,11372212.0,1318651.0,3529167.0,nan,nan,nan,1896961.0,196139.0,164080.0
bfs_stride_deg8_dist8_l1d_ddr4_1x,bfs,stride,deg8_dist8,l1d,ddr4_1x,0.022983,22982928732.0,30729211.0,69017804.0,0.445237,5839267.0,11444405.0,1674135.0,3891811.0,2190858.0,234232.0,318576.0,nan,nan,nan
bfs_stride_deg8_dist8_l1d_ddr4_2x,bfs,stride,deg8_dist8,l1d,ddr4_2x,0.020536,20536386057.0,30729211.0,61670829.0,0.498278,5719659.0,11357804.0,1670489.0,3889122.0,2218766.0,240744.0,315990.0,nan,nan,nan
bfs_stride_deg8_dist8_l2_ddr4_1x,bfs,stride,deg8_dist8,l2,ddr4_1x,0.023862,23861571210.0,30729211.0,71656370.0,0.428842,6907424.0,11458605.0,1340970.0,3522542.0,nan,nan,nan,1749377.0,174930.0,168846.0
bfs_stride_deg8_dist8_l2_ddr4_2x,bfs,stride,deg8_dist8,l2,ddr4_2x,0.021204,21203503938.0,30729211.0,63674186.0,0.482601,6847175.0,11378862.0,1336701.0,3529058.0,nan,nan,nan,1775568.0,178626.0,165347.0
matmult_stride_deg16_dist16_l1d_ddr4_1x,matmult,stride,deg16_dist16,l1d,ddr4_1x,0.001222,1221872571.0,7397871.0,3669287.0,2.016163,1156969.0,2137848.0,5406.0,1082963.0,28354.0,571.0,5473.0,nan,nan,nan
