run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
merge_imp3_s32_ipd16_addr16_l2_ddr4_1x,merge,imp,stage3,s32_ipd16_addr16,l2,ddr4_1x,0.010153,10152784386.0,37919464.0,30488842.0,1.243717,844646.0,11106045.0,17248.0,201240.0,nan,nan,nan,85093.0,54694.0,373.0
merge_imp3_s32_ipd8_addr8_l1d_ddr4_1x,merge,imp,stage3,s32_ipd8_addr8,l1d,ddr4_1x,0.009971,9971294724.0,37918829.0,29943828.0,1.266333,779785.0,10964064.0,73925.0,214938.0,210212.0,76526.0,7272.0,nan,nan,nan
merge_imp3_s32_ipd8_addr8_l2_ddr4_1x,merge,imp,stage3,s32_ipd8_addr8,l2,ddr4_1x,0.010153,10152784386.0,37919464.0,30488842.0,1.243717,844646.0,11106045.0,17248.0,201240.0,nan,nan,nan,85093.0,54694.0,373.0
merge_imp3_s32_l2_ddr4_2x,merge,imp,stage3,s32,l2,ddr4_2x,0.010051,10050759513.0,37919508.0,30182461.0,1.256344,848023.0,11105968.0,13428.0,201366.0,nan,nan,nan,91714.0,58643.0,357.0
merge_imp3_s32_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,merge,imp,stage3,s32_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.009923,9923241492.0,37918834.0,29799524.0,1.272466,773211.0,10964189.0,73919.0,215015.0,216109.0,76960.0,7334.0,nan,nan,nan
merge_imp3_s32_sth2_dist32_ipd16_l2_ddr4_2x,merge,imp,stage3,s32_sth2_dist32_ipd16,l2,ddr4_2x,0.010051,10050687918.0,37919536.0,30182246.0,1.256354,848012.0,11105982.0,13421.0,201367.0,nan,nan,nan,91741.0,58651.0,391.0
merge_imp3_s32_sth2_l1d_ddr4_2x,merge,imp,stage3,s32_sth2,l1d,ddr4_2x,0.009923,9923241492.0,37918834.0,29799524.0,1.272466,773211.0,10964189.0,73919.0,215015.0,216109.0,76960.0,7334.0,nan,nan,nan
merge_imp3_s32_sth8_l1d_ddr4_2x,merge,imp,stage3,s32_sth8,l1d,ddr4_2x,0.009922,9921603798.0,37918829.0,29794606.0,1.272676,770952.0,10964267.0,73686.0,214411.0,214165.0,77236.0,6962.0,nan,nan,nan
merge_imp3_s32_sth8_pt8_l1d_ddr4_1x,merge,imp,stage3,s32_sth8_pt8,l1d,ddr4_1x,0.009968,9967776912.0,37918829.0,29933264.0,1.26678,779345.0,10964256.0,73439.0,213524.0,202153.0,75622.0,6754.0,nan,nan,nan
merge_imp3_s64_dist32_addr16_l2_ddr4_1x,merge,imp,stage3,s64_dist32_addr16,l2,ddr4_1x,0.010573,10573056360.0,37919492.0,31750920.0,1.194281,893147.0,11163710.0,24937.0,201511.0,nan,nan,nan,605153.0,47255.0,335.0
merge_imp3_s64_dist32_addr16_l2_ddr4_2x,merge,imp,stage3,s64_dist32_addr16,l2,ddr4_2x,0.010401,10401107481.0,37919564.0,31234557.0,1.214027,892264.0,11157468.0,24554.0,201392.0,nan,nan,nan,600627.0,47524.0,337.0
